ID;canonicalsmiles;xlogp;polararea
5478883;CC(C)CC(C(CC(=O)O)O)NC(=O)C(C)NC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O;3.000;223000
5481345;CC(C)CC(C(CC(=O)O)O)NC(=O)C(C)NC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)C)O;1.700;223000
115071;CCCCCCC1C(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)O1)C(C)O)CO)C(C)CC)CC(C)C)C)C;3.900;204000
5462499;CC(C)CC(C(CC(=O)O)O)NC(=O)C(C)NC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)C(C)C)O;2.800;223000
135397151;CC(C)CC(C(CC(=O)O)O)NC(=O)C(C)NC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O.N;NULL;224000
71308771;CCCCC(C(=O)NC(CC(C)C)C(CC(=O)NC(C)C(=O)NC(CC(C)C)C(CC(=O)O)O)O)N;-1.100;191000
102225144;CCC(C)CCCCCCCC(CC(=O)NC(CCC(=O)OC)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)O)O;7.200;200000
431973;CCC(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(CC(=O)NC(C)C(=O)NC(CC(C)C)C(CC(=O)O)O)O;2.200;223000
4667579;CC(C)CC(C(CC(=O)O)O)NC(=O)C(C)NC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)C(C)C)O;2.800;223000
102225145;CCC(C)CC(C)CCCCC(CC(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)O)O;6.500;211000
11479333;CCCCCCC1C(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)O1)C(C)O)CO)C(C)CC)CC(C)C)C)C;3.900;204000
3058080;CCCCCCC1C(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)O1)C(C)O)CO)C(C)C)CC(C)C)C)C;3.600;204000
444340;CCOC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O;3.600;134000
16084771;CCCCCC1CC(=O)NC(C(=O)NC(C(=O)OC(CC(=O)NC(C(=O)NC(C(=O)O1)CC(C)C)CO)CCCCC)CO)CC(C)C;5.100;210000
6452617;CC(C)CC(C(CC(=O)NC(CO)C(=O)NC(CC(C)C)C(CC(=O)O)O)O)NC(C(C)CC(=O)C(C(C)C)NC(=O)CC(C)C)C(=O)N;-1.400;258000
10700088;CCCCCCCCCC1CC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)O1)C(C)CC)CC(C)C)C(C)O)CO)CC(C)C;6.500;212000
122177567;CCCCCCCCCCC1CC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)O1)C(C)CC)CC(C)C)C(C)O)CO)CC(C)C;7.100;212000
122177568;CCC(C)C1C(=O)OC(CC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CC(C)C)C(C)O)CO)CC(C)C)CCCCCCCCC(C)C;7.300;212000
125880;CC(C)CCCCCCCCCCCC(=O)OC(CCCCCCCCCCC(C)C)CC(=O)NCC(=O)NC(CO)C(=O)O;10.600;142000
16084769;CCCCCCCC1CC(=O)NC(C(=O)NC(C(=O)OC(CC(=O)NC(C(=O)NC(C(=O)O1)CO)CC(C)C)CCCCC)CC(C)C)CO;6.200;210000
16084770;CCCCCCCC1CC(=O)NC(C(=O)NC(C(=O)OC(CC(=O)NC(C(=O)NC(C(=O)O1)CC(C)C)CO)CCCCC)CO)CC(C)C;6.200;210000
5748644;CC(C)CC(C(CC(=O)NC(=O)C(C)NNC(CC(C)C)C(CC(=O)O)O)O)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)C(C)C;0.300;235000
133053571;CC(C)CC(C(CC(=O)O)O)NC(=O)C(C)NC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O.C(=O)(C(F)(F)F)O;NULL;261000
139583889;CCCCCCCCCCCCCC(CC(=O)NC(CC(C)C)C(=O)NC1C(OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)CO)C(C)O)CC(C)C)CC(C)C)C)O;7.800;262000
139585984;CCC(C)CC(C)CCCCC(CC(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)O)O;6.500;211000
139586599;CCC(C)CCCCCCCCC(CC(=O)NC(CCC(=O)OC)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)O)O;7.700;200000
139587083;CCC(C)CCCCCCCC(CC(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)O)O;6.800;211000
139587702;CCCCCCCCCCCC(CC(=O)NC(CC(C)C)C(=O)NC1C(OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)CO)C(C)O)CC(C)C)CC(C)C)C)O;6.700;262000
139588117;CCC(C)CC(C)CCCCCC(CC(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)O)O;7.100;211000
156582318;CCCCCCCC(CC(=O)NC(CC(C)C)C(=O)NC(CCC(=O)N)C(=O)NC(C(C)O)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(C(C)CC)C(=O)O)O;2.600;423000
139588802;CCCCCCCC(CC(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)N)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)N)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)O)O;5.700;377000
139588803;CCCCCCCCCC(CC(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)N)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)N)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)O)O;6.800;377000
118707673;CCC(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(CC(=O)NC(C)C(=O)NC(CC(C)C)C(CC(=O)O)O)O;2.200;223000
